,solved,time,date,puzzle_id
0,True,83,2023/01/01,20818
1,True,218,2023/01/02,20830
2,True,139,2023/01/03,20711
3,True,44,2023/01/04,20527
4,True,165,2023/01/05,20750
5,True,114,2023/01/06,20816
6,True,87,2023/01/07,20795
7,True,107,2023/01/08,20718
8,True,93,2023/01/09,20805
9,True,170,2023/01/10,20825
10,True,49,2023/01/11,20826
11,True,103,2023/01/12,20832
12,True,209,2023/01/13,20838
13,True,161,2023/01/14,20837
14,True,46,2023/01/15,20516
15,True,97,2023/01/16,20871
16,True,82,2023/01/17,20875
17,True,50,2023/01/18,20872
18,True,356,2023/01/19,20879
19,True,138,2023/01/20,20880
20,True,104,2023/01/21,20877
21,True,109,2023/01/22,20878
22,True,1100,2023/01/23,20881
23,True,152,2023/01/24,20886
24,True,103,2023/01/25,20887
25,True,63,2023/01/26,20892
26,True,98,2023/01/27,20897
27,True,134,2023/01/28,20901
28,True,59,2023/01/29,20902
29,True,95,2023/01/30,20910
30,True,64,2023/01/31,20913
31,True,94,2023/02/01,20916
32,True,117,2023/02/02,20917
33,True,101,2023/02/03,20921
34,True,149,2023/02/04,20926
35,True,125,2023/02/05,20924
36,True,163,2023/02/06,20925
37,True,136,2023/02/07,20931
38,True,58,2023/02/08,20932
39,True,66,2023/02/09,20936
40,True,95,2023/02/10,20938
41,True,158,2023/02/11,20941
42,True,100,2023/02/12,20935
43,True,69,2023/02/13,20948
44,True,67,2023/02/14,20950
45,True,64,2023/02/15,20949
46,True,95,2023/02/16,20954
47,True,97,2023/02/17,20958
48,True,269,2023/02/18,20962
49,True,858,2023/02/19,20960
50,True,93,2023/02/20,20965
51,True,653,2023/02/21,20967
52,True,370,2023/02/22,20966
53,True,151,2023/02/23,20969
54,True,49,2023/02/24,20970
55,True,180,2023/02/25,20971
56,True,98,2023/02/26,20979
57,True,129,2023/02/27,20980
58,True,112,2023/02/28,20982
59,True,152,2023/03/01,20968
60,True,88,2023/03/02,20975
61,True,93,2023/03/03,20986
62,True,344,2023/03/04,20988
63,True,47,2023/03/05,20987
64,True,98,2023/03/06,20994
65,True,153,2023/03/07,20995
66,True,96,2023/03/08,20996
67,True,73,2023/03/09,20999
68,True,100,2023/03/10,21000
69,True,466,2023/03/11,21001
70,True,50,2023/03/12,21008
71,True,318,2023/03/13,21007
72,True,242,2023/03/14,21009
73,True,163,2023/03/15,21010
74,True,54,2023/03/16,21015
75,True,84,2023/03/17,21019
76,True,138,2023/03/18,21020
77,True,39,2023/03/19,21022
78,True,90,2023/03/20,21023
79,True,274,2023/03/21,21024
80,True,273,2023/03/22,21025
81,True,72,2023/03/23,21033
82,True,76,2023/03/24,21032
83,True,313,2023/03/25,21038
84,True,145,2023/03/26,21034
85,True,184,2023/03/27,21035
86,True,215,2023/03/28,21039
87,True,207,2023/03/29,21043
88,True,229,2023/03/30,21045
89,True,156,2023/03/31,21044
90,True,333,2023/04/01,21056
91,True,767,2023/04/02,21046
92,True,76,2023/04/03,21047
93,True,309,2023/04/04,21049
94,True,118,2023/04/05,21059
95,True,82,2023/04/06,21050
96,True,129,2023/04/07,21060
